1.41	0.25
1.18	0.25
0.57	0.25
0.48	0.25
0.46	0.25
0.48	0.25
0.51	0.25
0.52	0.25
0.5	0.25
1.85	0.25
4.13	0.25
4.31	0.25
3.89	0.25
3.36	0.25
3.18	0.25
2.61	0.25
2.13	0.25
2.66	0.25
3.01	0.25
2.98	0.25
3.73	0.25
4.04	0.25
3.77	0.25
3.65	0.25
3.37	0.25
2.94	0.25
2.68	0.25
2.47	0.25
2.28	0.25
2.31	0.25
2.63	0.25
2.96	0.25
3.21	0.25
3.09	0.25
3.12	0.25
3.27	0.25
3	0.25
2.84	0.25
2.4	0.25
1.88	0.25
1.81	0.25
1.58	0.25
1.61	0.25
1.3	0.25
1.18	0.25
1.22	0.25
1.48	0.25
1.68	0.25
1.75	0.25
1.86	0.25
1.92	0.25
1.81	0.25
1.95	0.25
1.91	0.25
1.96	0.25
1.88	0.25
1.56	0.25
1.43	0.25
1.31	0.25
1.21	0.25
1.27	0.25
1.36	0.25
1.96	0.25
1.93	0.25
2.29	0.25
2.23	0.25
2.23	0.25
2.23	0.25
2.23	0.25
