1.43	0.25
1.23	0.25
0.63	0.25
0.51	0.25
0.53	0.25
0.53	0.25
0.53	0.25
0.59	0.25
0.57	0.25
1.65	0.25
4.19	0.25
4.71	0.25
4.18	0.25
3.8	0.25
3.24	0.25
2.66	0.25
2.11	0.25
1.71	0.25
2.1	0.25
1.86	0.25
2.1	0.25
1.99	0.25
1.8	0.25
1.38	0.25
1.03	0.25
0.84	0.25
0.66	0.25
0.42	0.25
0.4	0.25
0.36	0.25
0.34	0.25
0.34	0.25
0.4	0.25
0.76	0.25
1.21	0.25
0.93	0.25
0.8	0.25
0.99	0.25
1.14	0.25
1.16	0.25
1	0.25
0.88	0.25
0.69	0.25
0.79	0.25
0.87	0.25
1.02	0.25
1.09	0.25
1.35	0.25
1.79	0.25
2.3	0.25
2.92	0.25
4.01	0.25
4.2	0.25
4.65	0.25
4.67	0.25
4.51	0.25
4.56	0.25
4.61	0.25
4.01	0.25
4.43	0.25
5.19	0.25
4.59	0.25
4.67	0.25
4.26	0.25
4.2	0.25
4.3	0.25
4.56	0.25
4.38	0.25
2.93	0.25
2.05	0.25
1.15	0.25
0.67	0.25
0.63	0.25
0.63	0.25
